Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-01-29,178.47,179.2,177.3,177.3,3482105.0,0.0,1.0,166.41306656893954,167.09374981315608,165.3221084925925,165.3221084925925,3482105.0
2017-01-22,167.81,170.64,166.0,170.55,12606847.0,0.0,1.0,156.4732263177775,159.11203944261692,154.78550484924057,159.02811959059025,12606847.0
2017-01-15,167.97,168.48,166.875,167.34,2875319.0,0.0,1.0,156.62241716582494,157.0979629939762,155.60139229950013,156.03497820163807,2875319.0
2017-01-08,168.69,169.92,167.52,169.53,2945536.0,0.0,1.0,157.2937759820385,158.44068062640335,156.20281790569146,158.07702793428768,2945536.0
2017-01-01,166.44,166.7,165.5,165.99,2952200.0,0.0,1.0,155.19577968137108,155.4382148094482,154.31928344909227,154.77618042123763,2952200.0
2016-12-25,167.0,167.49,166.45,166.71,1701228.0,0.0,1.0,155.7179476495372,156.17484462168255,155.20510410937405,155.4475392374512,1701228.0
2016-12-18,168.97,169.11,166.06,166.73,7117050.0,0.0,1.0,157.55485996612157,157.6854019581631,154.84145141725838,155.4661880934571,7117050.0
2016-12-11,165.18,166.72,164.6042,166.52,3146930.0,0.0,1.0,154.02090175299733,155.45686366545414,153.48400118858652,155.27037510539483,3146930.0
2016-12-04,159.0,160.29,158.41,160.02,2740782.0,0.0,1.0,148.25840524716418,149.4612564595468,147.70826399498915,149.20949690346674,2740782.0
2016-11-27,161.83,163.19,161.83,163.14,1605344.0,0.0,1.0,150.89721837200364,152.16534058040705,150.89721837200364,152.1187184403922,1605344.0
2016-11-20,159.8,160.72,159.21,160.39,2981633.0,0.0,1.0,149.00435948740147,149.86220686367437,148.45421823522645,149.55450073957647,2981633.0
2016-11-13,159.97,161.34,159.33,161.27,4446630.0,0.0,1.0,149.1628747634519,150.44032139985828,148.56611137126205,150.37505040383752,4446630.0
2016-11-06,152.4,153.64,151.87,152.43,2470353.0,0.0,1.0,140.83363068708616,141.9795211204981,140.34385493732134,140.86135384273322,2470353.0
2016-10-30,154.05,154.44,152.18,152.61,3654446.0,0.0,1.0,142.35840424767468,142.7188052710865,140.63032754567433,141.0276927766156,3654446.0
2016-10-23,150.58,151.15,149.56,149.63,4414171.0,0.0,1.0,139.15175924449758,139.6784992017918,138.2091719524974,138.2738593156739,4414171.0
2016-10-16,154.47,155.53,154.09,154.45,4358147.0,0.0,1.0,142.74652842673356,143.72607992626317,142.3953684552041,142.72804632296885,4358147.0
2016-10-09,157.14,157.7,154.86,155.67,2671256.0,0.0,1.0,145.21388927932227,145.73138818473413,143.10692945014543,143.85545465261612,2671256.0
2016-10-02,158.9,159.838,158.06,158.85,3596878.0,0.0,1.0,146.8403144106167,147.7071250771816,146.06406605249893,146.79410915120494,3596878.0
2016-09-25,155.62,156.04,154.71,154.98,2702143.0,0.0,1.0,143.80924939320437,144.19737357226325,142.9683136719101,143.21782207273367,2702143.0
2016-09-18,155.04,155.4,153.47,153.84,6463213.0,0.0,1.0,143.27326838402777,143.60594625179257,141.8224232384981,142.16434215814522,6463213.0
2016-09-11,158.03,158.4,155.65,155.69,5185972.0,0.0,1.0,146.03634289685186,146.378261816499,143.83697254885143,143.87393675638086,5185972.0
2016-09-04,159.88,160.57,159.15,159.55,2315366.0,0.0,1.0,147.74593749508747,148.38357007496995,147.0713407076756,147.4409827829698,2315366.0
2016-08-28,158.88,160.44,157.85,158.32,2498909.0,0.0,1.0,146.821832306852,148.26343640049936,145.87000396296946,146.30433340144015,2498909.0
2016-08-21,160.84,160.91,159.52,160.04,2815163.0,0.0,1.0,148.63307847579355,148.69776583897,147.41325962732273,147.89379432520516,2815163.0
2016-08-14,163.19,163.46,161.52,161.95,2543079.0,0.0,1.0,150.8047256681469,151.0542340689705,149.26147000379368,149.6588352347349,2543079.0
2016-08-07,162.0,163.51,161.57,163.5,3812370.0,0.0,1.0,148.42269188492125,149.80613796360169,148.02873041880693,149.79697606904088,3812370.0
2016-07-31,161.36,161.67,160.03,160.62,3547395.0,0.0,1.0,147.8363306330302,148.12034936441492,146.6177986564441,147.1583504355312,3547395.0
2016-07-24,160.78,162.17,160.479,162.07,2520077.0,0.0,1.0,147.30494074850392,148.5784440924548,147.02916772222395,148.48682514684683,2520077.0
2016-07-17,159.9,159.98,158.5,159.78,4474358.0,0.0,1.0,146.49869402715376,146.5719891836401,145.2160287886421,146.3887512924242,4474358.0
2016-07-10,154.0,154.6,153.08,154.46,3040593.0,0.0,1.0,141.09317623628317,141.642889909931,140.2502819366898,141.51462338607985,3040593.0
2016-07-03,152.19,152.97,151.4,152.35,2658280.0,0.0,1.0,139.4348733207788,140.149501096521,138.71108365047579,139.58146363375155,2658280.0
2016-06-26,149.97,150.61,146.18,146.59,9081182.0,0.0,1.0,137.40093272828173,137.98729398017278,133.92857468973943,134.30421236673214,9081182.0
2016-06-19,150.96,152.72,150.6044,151.99,4663870.0,0.0,1.0,138.3079602898007,139.92045373250107,137.98216331921873,139.25163542956284,4663870.0
2016-06-12,152.79,153.3299,151.86,152.37,3120563.0,0.0,1.0,139.98458699442665,140.47923768176412,139.1325308002725,139.59978742287316,3120563.0
2016-06-05,152.4,153.04,151.7,152.89,2328056.0,0.0,1.0,139.62727310655555,140.21363435844657,138.9859404872997,140.0762059400346,2328056.0
2016-05-29,152.35,152.93,152.15,152.84,2457037.0,0.0,1.0,139.58146363375155,140.11285351827783,139.3982257425356,140.03039646723064,2457037.0
2016-05-22,145.71,147.51,145.55,147.25,3670262.0,0.0,1.0,133.49796564538195,135.1471066663255,133.3513753324092,134.90889740774477,3670262.0
2016-05-15,148.79,149.86,147.42,147.72,2397902.0,0.0,1.0,136.3198291701076,137.30015188811296,135.0646496152783,135.33950645210226,2397902.0
2016-05-08,144.86,147.97,144.47,147.29,4895684.0,1.4,1.0,132.71920460771415,135.5685538161222,132.36189071984305,134.94554498598796,4895684.0
2016-05-01,146.49,147.34,144.191,145.94,4225790.0,0.0,1.0,132.9489063487617,133.72033491314457,130.86241897286024,132.4497466894551,4225790.0
2016-04-24,149.44,151.0,147.5,148.5,5191802.0,0.0,1.0,135.62621724867873,137.04201555507552,133.86554499585193,134.77310801277295,5191802.0
2016-04-17,151.04,152.1,150.96,151.72,3657466.0,0.0,1.0,137.07831807575238,138.04033487368866,137.0057130343987,137.69546092725867,3657466.0
2016-04-10,149.06,149.99,148.12,149.35,3293512.0,0.0,1.0,135.28134330224873,136.1253769079853,134.42823406634298,135.54453657715584,3293512.0
2016-04-03,150.51,152.96,150.25,152.52,3925181.0,0.0,1.0,136.59730967678422,138.82083906824076,136.36134329238476,138.42151134079552,3925181.0
2016-03-27,144.98,148.22,144.49,147.95,5044335.0,0.0,1.0,131.57848619321092,134.51899036803508,131.13378031491965,134.27394835346638,5044335.0
2016-03-20,147.4,147.51,145.51,147.09,12088126.0,0.0,1.0,133.77478869415984,133.87462062602114,132.05949459217908,133.49344415891431,12088126.0
2016-03-13,141.73,142.9236,140.51,142.36,4421748.0,0.0,1.0,128.6289063882176,129.71217360521453,127.52167950757392,129.20067108887784,4421748.0
2016-03-06,137.535,139.42,137.02,137.8,3968423.0,0.0,1.0,124.82167953223386,126.53243581913,124.35428457851954,125.06218373171795,3968423.0
2016-02-28,134.51,134.92,131.95,132.03,4385699.0,0.0,1.0,122.07630140604775,122.44840224298537,119.7529400827299,119.82554512408359,4385699.0
2016-02-21,132.36,133.65,130.84,133.08,5125276.0,0.0,1.0,120.12504091966754,121.29579721149567,118.74554513394757,120.77848629185068,5125276.0
2016-02-14,119.26,121.05,118.35,121.04,4935670.0,0.0,1.0,108.23596539800205,109.86050319829069,107.4100830526039,109.85142756812148,4935670.0
2016-02-07,127.22,128.64,125.85,128.57,7176765.0,0.0,1.0,114.29008424751959,115.56576354033106,113.05932323966624,115.50287794138966,7176765.0
2016-01-31,123.28,124.79,122.96,124.79,8248077.0,0.0,1.0,110.75052339281729,112.10705559855346,110.4630463690851,112.10705559855346,8248077.0
2016-01-24,124.67,124.74,121.77,122.5,9238219.0,0.0,1.0,111.99925171465388,112.06213731359529,109.39399118708111,110.04979814747013,9238219.0
2016-01-17,130.01,130.88,128.87,130.03,9007945.0,0.0,1.0,116.79652454818441,117.57810270645625,115.77238765113857,116.81449186216769,9007945.0
2016-01-10,133.18,133.816,131.32,131.63,4762583.0,0.0,1.0,119.6443438145312,120.21570439919888,117.97338361408796,118.25187698082851,4762583.0
2016-01-03,139.07,139.1,137.57,137.62,3462037.0,0.0,1.0,124.93571778260139,124.96266875357628,123.58816923385686,123.63308751881502,3462037.0
2015-12-27,138.43,138.88,138.11,138.25,1495226.0,0.0,1.0,124.36076373513707,124.76502829976042,124.0732867114049,124.19905790928772,1495226.0
2015-12-20,136.41,136.96,134.27,134.9,10008280.0,0.0,1.0,122.54606502282775,123.04016615736742,120.6235624266189,121.1895328170916,10008280.0
